日期,新增确诊,新增疑似,新增治愈,新增死亡,现有确诊,现有疑似,累计确诊,累计治愈,累计死亡
2020-03-21,41,36,590,7,6013,106,81008,71740,3255
2020-03-20,39,31,730,3,6569,104,80967,71150,3248
2020-03-19,34,23,819,8,7263,105,80928,70420,3245
2020-03-18,13,21,922,11,8056,119,80894,69601,3237
2020-03-17,21,45,930,13,8976,128,80881,68679,3226
2020-03-16,16,41,838,14,9898,134,80860,67749,3213
2020-03-15,20,39,1370,10,10734,113,80844,66911,3199
2020-03-14,11,17,1430,13,12094,115,80824,65541,3189
2020-03-13,8,33,1318,7,13526,147,80813,64111,3176
2020-03-12,15,33,1318,11,14831,253,80793,62793,3169
2020-03-11,24,31,1578,22,16145,285,80778,61475,3158
2020-03-10,19,36,1297,17,17721,349,80754,59897,3136
2020-03-09,40,60,1535,22,19016,421,80735,58600,3119
2020-03-08,44,84,1661,27,20533,458,80695,57065,3097
2020-03-07,99,99,1678,28,22177,502,80651,55404,3070
2020-03-06,143,102,1681,30,23784,482,80552,53726,3042
2020-03-05,139,143,2189,31,25352,522,80409,52045,3012
2020-03-04,119,143,2652,38,27433,520,80270,49856,2981
2020-03-03,125,129,2742,31,30004,587,80151,47204,2943
2020-03-02,202,141,2837,42,32652,715,80026,44462,2912
2020-03-01,573,132,2623,35,35329,851,79824,41625,2870
2020-02-29,427,248,2885,47,37414,1418,79251,39002,2835
2020-02-28,327,452,3622,44,39919,2308,78824,36117,2788
2020-02-27,433,508,2750,29,43258,2358,78497,32495,2744
2020-02-26,406,439,2422,52,45604,2491,78064,29745,2715
2020-02-25,508,530,2589,71,47672,2824,77658,27323,2663
2020-02-24,409,620,1846,150,49824,3434,77150,24734,2592
2020-02-23,648,882,2230,97,51606,4148,76936,22888,2442
2020-02-22,397,1361,2393,109,53284,5365,76288,20659,2345
2020-02-21,889,1614,2109,118,54965,5206,75465,18264,2236
2020-02-20,394,1277,1779,114,56303,4922,74576,16155,2118
2020-02-19,1749,1185,1824,136,57805,5248,74185,14376,2004
2020-02-18,1886,1432,1701,98,58016,6242,72436,12552,1868
2020-02-17,2048,1563,1425,105,57934,7264,70548,10844,1770
2020-02-16,2009,1918,1323,142,57416,8228,68500,9419,1665
2020-02-15,2641,2277,1373,143,56873,8969,66492,8096,1523
2020-02-14,5090,2450,1081,121,55748,10109,63851,6723,1380
2020-02-13,15152,2807,1171,254,52526,13435,59804,5911,1367
2020-02-12,2015,3342,744,97,38800,16067,44653,4740,1113
2020-02-11,2478,3536,716,108,37626,21675,42638,3996,1016
2020-02-10,3062,4008,632,97,35982,23589,40171,3281,908
2020-02-09,2656,3916,600,89,33738,28942,37198,2649,811
2020-02-08,3399,4214,510,86,31774,27657,31774,2050,722
2020-02-07,3143,4833,387,73,28985,26359,31161,1540,636
